,no.,Municipio,Provincia,Mes de origen ,Dia de origen,Mes de extincion,Dia extincion,Causas,Area Afectada en Tareas,Metros Cuadrados,Mes de origen .1,Fecha origen,Fecha Extincion,Fecha Mes
105,106,Constanza,Elías Piña,Marzo,26,Marzo,27,Ganaderia,160,100608.0,3,03/26/2021,03/27/2021,Mar-2021
106,107,Duverge,Elías Piña,Marzo,31,Abril,2,Desconocida,16,10060.8,3,03/31/2021,03/02/2021,Mar-2021
107,108,San Juan,Elías Piña,Abril,3,Abril,3,Conuquismo,45,28295.999999999996,4,04/03/2021,04/03/2021,Apr-2021
108,109,Padre Las Casas,Elías Piña,Marzo,30,Abril,1,Conuquismo,1600,1006079.9999999999,3,03/30/2021,03/01/2021,Mar-2021
109,110,SAJOMA,Elías Piña,Abril,1,Abril,2,Ganaderia,117,73569.59999999999,4,04/01/2021,04/02/2021,Apr-2021
110,111,Ocoa,Elías Piña,Abril,18,Abril,18,Ganaderia,25,15719.999999999998,4,04/18/2021,04/18/2021,Apr-2021
111,112,Pedro Santana,Elías Piña,Abril,18,Abril,18,Conuquismo,20,12576.0,4,04/18/2021,04/18/2021,Apr-2021
112,113,Pedro Santana,Elías Piña,Abril,18,Abril,18,Conuquismo,15,9432.0,4,04/18/2021,04/18/2021,Apr-2021
113,114,La Vega,Elías Piña,Abril,15,Abril,15,Intencional,12,7545.599999999999,4,04/15/2021,04/15/2021,Apr-2021
114,115,Moncion,Elías Piña,Abril,24,Abril,25,Intencional,76,47788.799999999996,4,04/24/2021,04/25/2021,Apr-2021
115,116,Moncion,Elías Piña,Abril,24,Abril,25,Intencional,120,75456.0,4,04/24/2021,04/25/2021,Apr-2021
116,117,Moncion,Elías Piña,Abril,24,Abril,26,Intencional,390,245231.99999999997,4,04/24/2021,04/26/2021,Apr-2021
117,118,Duverge,Elías Piña,Abril,21,Abril,23,Intencional,1466,921820.7999999999,4,04/21/2021,04/23/2021,Apr-2021
118,119,La Vega,Elías Piña,Abril,21,Abril,21,Descarga Electrica,30,18864.0,4,04/21/2021,04/21/2021,Apr-2021
119,120,San Juan,Elías Piña,Abril,22,Abril,22,Conuquismo,40,25152.0,4,04/22/2021,04/22/2021,Apr-2021
120,121,San Juan,Elías Piña,Abril,20,Abril,21,Conuquismo,150,94320.0,4,04/20/2021,04/21/2021,Apr-2021
121,122,Pedro Santana,Elías Piña,Abril,9,Abril,10,Conuquismo,200,125759.99999999999,4,04/09/2021,04/10/2021,Apr-2021
122,123,Pedro Santana,Elías Piña,Abril,13,Abril,14,Intencional,400,251519.99999999997,4,04/13/2021,04/14/2021,Apr-2021
123,124,Banica,Elías Piña,Abril,18,Abril,18,Intencional,12,7545.599999999999,4,04/18/2021,04/18/2021,Apr-2021
124,125,Restauracion ,Elías Piña,Abril,15,Abril,15,Conuquismo,25,15719.999999999998,4,04/15/2021,04/15/2021,Apr-2021
125,126,Restauracion ,Elías Piña,Abril,15,Abril,17,Conuquismo,350,220079.99999999997,4,04/15/2021,04/17/2021,Apr-2021
126,127,SAJOMA,Elías Piña,Abril,24,Abril,25,Desconocida,53,33326.399999999994,4,04/24/2021,04/25/2021,Apr-2021
127,128,SAJOMA,Elías Piña,Abril,1,Abril,1,Ganaderia,116,72940.79999999999,4,04/01/2021,04/01/2021,Apr-2021
128,129,La Vega,Elías Piña,Abril,24,Abril,24,Desconocida,25,15719.999999999998,4,04/24/2021,04/24/2021,Apr-2021
129,130,Ocoa,Elías Piña,Abril,23,Abril,24,Conuquismo,250,157200.0,4,04/23/2021,04/24/2021,Apr-2021
130,131,San Juan,Elías Piña,Abril,21,Abril,22,Conuquismo,120,75456.0,4,04/21/2021,04/22/2021,Apr-2021
131,132,San Juan,Elías Piña,Abril,19,Abril,21,Conuquismo,150,94320.0,4,04/19/2021,04/21/2021,Apr-2021
132,133,San Juan,Elías Piña,Abril,17,Abril,20,Intencional,150,94320.0,4,04/17/2021,04/20/2021,Apr-2021
133,134,San Juan,Elías Piña,Abril,11,Abril,13,Conuquismo,115,72312.0,4,04/11/2021,04/13/2021,Apr-2021
134,135,Sabaneta,Elías Piña,Abril,19,Abril,19,Conuquismo,45,28295.999999999996,4,04/19/2021,04/19/2021,Apr-2021
135,136,Sabaneta,Elías Piña,Abril,21,Abril,22,Conuquismo,200,125759.99999999999,4,04/21/2021,04/22/2021,Apr-2021
136,137,Sabaneta,Elías Piña,Abril,10,Abril,10,Conuquismo,30,18864.0,4,04/10/2021,04/10/2021,Apr-2021
137,138,San Juan,Elías Piña,Abril,13,Abril,14,Conuquismo,300,188640.0,4,04/13/2021,04/14/2021,Apr-2021
138,139,Bonao,Elías Piña,Abril,24,Abril,24,Ganaderia,70,44016.0,4,04/24/2021,04/24/2021,Apr-2021
139,140,Bonao,Elías Piña,Abril,25,Abril,25,Conuquismo,40,25152.0,4,04/25/2021,04/25/2021,Apr-2021
140,141,Bonao,Elías Piña,Abril,26,Abril,26,Conuquismo,20,12576.0,4,04/26/2021,04/26/2021,Apr-2021
141,142,SAJOMA,Elías Piña,Abril,12,Abril,12,Conuquismo,5,3144.0,4,04/12/2021,04/12/2021,Apr-2021
142,143,Restauracion ,Elías Piña,Abril,20,Abril,20,Conuquismo,20,12576.0,4,04/20/2021,04/20/2021,Apr-2021
143,144,Partido,Elías Piña,Abril,2,Abril,2,Conuquismo,60,37728.0,4,04/02/2021,04/02/2021,Apr-2021
144,145,Jarabacoa,Elías Piña,Mayo,6,Mayo,6,No Intencional,124,77971.2,5,05/06/2021,05/06/2021,May-2021
145,146,La Vega,Elías Piña,Mayo,7,Mayo,7,Desconocida,17,10689.599999999999,5,05/07/2021,05/07/2021,May-2021
146,147,Bonao,Elías Piña,Mayo,5,Mayo,8,Huelguistas,125,78600.0,5,05/05/2021,05/08/2021,May-2021
147,148,Ocoa,Elías Piña,Mayo,8,Mayo,9,Conuquismo,90,56591.99999999999,5,05/08/2021,05/09/2021,May-2021
148,149,Jarabacoa,Elías Piña,Mayo,10,Mayo,10,Conuquismo,10,6288.0,5,05/10/2021,05/10/2021,May-2021
149,150,Galvan,Elías Piña,Mayo,10,Mayo,10,Quema de Basura,110,69168.0,5,05/10/2021,05/10/2021,May-2021
150,151,Sabaneta,Elías Piña,Mayo,1,Mayo,1,Conuquismo,40,25152.0,5,05/01/2021,05/01/2021,May-2021
151,152,Hondo Valle,Elías Piña,Mayo,2,Mayo,2,Conuquismo,60,37728.0,5,05/02/2021,05/02/2021,May-2021
152,153,Hondo Valle,Elías Piña,Mayo,3,Mayo,3,Conuquismo,60,37728.0,5,05/03/2021,05/03/2021,May-2021
153,154,Hondo Valle,Elías Piña,Mayo,2,Mayo,2,Conuquismo,65,40872.0,5,05/02/2021,05/02/2021,May-2021
154,155,Constanza,Elías Piña,Mayo,9,Mayo,9,Conuquismo,20,12576.0,5,05/09/2021,05/09/2021,May-2021
155,156,Padre Las Casas,Elías Piña,Mayo,2,Mayo,3,Conuquismo,500,314400.0,5,05/02/2021,05/03/2021,May-2021
